student_key,student_id,full_name,email
1,20220829,John Surname046,20220829@murdoch.edu.au
2,15925111,John Surname111,15925111@student.murdoch.edu.au
3,15925076,John Surname076,15925076@student.murdoch.edu.au
4,15925161,John Surname161,15925161@student.murdoch.edu.au
5,15925016,John Surname016,15925016@student.murdoch.edu.au
6,15925085,John Surname085,15925085@student.murdoch.edu.au
7,15925004,John Surname004,15925004@student.murdoch.edu.au
8,15925026,John Surname026,15925026@student.murdoch.edu.au
9,15925124,John Surname124,15925124@student.murdoch.edu.au
10,15925120,John Surname120,15925120@student.murdoch.edu.au
11,15925065,John Surname065,15925065@student.murdoch.edu.au
12,15925153,John Surname153,15925153@student.murdoch.edu.au
13,15925074,John Surname074,15925074@student.murdoch.edu.au
14,15925162,John Surname162,15925162@student.murdoch.edu.au
15,15925019,John Surname019,15925019@student.murdoch.edu.au
16,15925158,John Surname158,15925158@student.murdoch.edu.au
17,15925025,John Surname025,15925025@student.murdoch.edu.au
18,15925069,Joy Surname069,15925069@student.murdoch.edu.au
19,15925093,Joy Surname093,15925093@student.murdoch.edu.au
20,15925086,John Surname086,15925086@student.murdoch.edu.au
21,15925140,John Surname140,15925140@student.murdoch.edu.au
22,15925125,John Surname125,15925125@student.murdoch.edu.au
23,15925020,John Surname020,15925020@student.murdoch.edu.au
24,15925099,John Surname099,15925099@student.murdoch.edu.au
25,15925040,Joy Surname040,15925040@student.murdoch.edu.au
26,15925047,John Surname047,15925047@student.murdoch.edu.au
27,15925071,John Surname071,15925071@student.murdoch.edu.au
28,15925170,John Surname170,15925170@student.murdoch.edu.au
29,15925077,John Surname077,15925077@student.murdoch.edu.au
30,15925091,Joy Surname091,15925091@student.murdoch.edu.au
31,15925163,John Surname163,15925163@student.murdoch.edu.au
32,15925131,John Surname131,15925131@student.murdoch.edu.au
33,15925009,John Surname009,15925009@student.murdoch.edu.au
34,15925067,Joy Surname067,15925067@student.murdoch.edu.au
35,15925133,John Surname133,15925133@student.murdoch.edu.au
36,15925114,John Surname114,15925114@student.murdoch.edu.au
37,15925147,John Surname147,15925147@student.murdoch.edu.au
38,15925028,Joy Surname028,15925028@student.murdoch.edu.au
39,15925070,John Surname070,15925070@student.murdoch.edu.au
40,15925038,John Surname037,15925038@student.murdoch.edu.au
41,15925013,John Surname013,15925013@student.murdoch.edu.au
42,15925096,John Surname096,15925096@student.murdoch.edu.au
43,15925035,John Surname035,15925035@student.murdoch.edu.au
44,15925138,John Surname138,15925138@student.murdoch.edu.au
45,15925143,Joy Surname143,15925143@student.murdoch.edu.au
46,15925157,John Surname157,15925157@student.murdoch.edu.au
47,15925137,Joy Surname137,15925137@student.murdoch.edu.au
48,15925057,John Surname057,15925057@student.murdoch.edu.au
49,15925014,John Surname014,15925014@student.murdoch.edu.au
50,15925121,Joy Surname121,15925121@student.murdoch.edu.au
51,15925141,Joy Surname141,15925141@student.murdoch.edu.au
52,15925042,John Surname042,15925042@student.murdoch.edu.au
53,15925049,John Surname049,15925049@student.murdoch.edu.au
54,15925088,Joy Surname088,15925088@student.murdoch.edu.au
55,15925054,Joy Surname054,15925054@student.murdoch.edu.au
56,15925044,John Surname044,15925044@student.murdoch.edu.au
57,15925008,John Surname008,15925008@student.murdoch.edu.au
58,15925083,John Surname083,15925083@student.murdoch.edu.au
59,15925166,John Surname166,15925166@student.murdoch.edu.au
60,15925079,John Surname079,15925079@student.murdoch.edu.au
61,15925167,Joy Surname167,15925167@student.murdoch.edu.au
62,15925007,John Surname007,15925007@student.murdoch.edu.au
63,15925055,John Surname055,15925055@student.murdoch.edu.au
64,15925159,John Surname159,15925159@student.murdoch.edu.au
65,15925107,Joy Surname107,15925107@student.murdoch.edu.au
66,15925101,Joy Surname101,15925101@student.murdoch.edu.au
67,15925073,John Surname073,15925073@student.murdoch.edu.au
68,15925082,John Surname082,15925082@student.murdoch.edu.au
69,15925148,Joy Surname148,15925148@student.murdoch.edu.au
70,15925116,John Surname116,15925116@student.murdoch.edu.au
71,15925094,John Surname094,15925094@student.murdoch.edu.au
